# Time-averaged data for fix avgstress
# TimeStep v_pxy v_pxz v_pyz v_pxx v_pyy v_pzz
586000 -37.7879 2.62886 -26.0316 -208.086 90.6297 117.456
588000 -59.8543 60.3275 -6.69223 6.74784 126.83 -133.578
590000 -150.561 162.27 20.4434 29.4304 32.1933 -61.6237
592000 -23.7945 86.1726 101.032 24.2631 59.4306 -83.6938
594000 -37.4562 62.5114 188.704 -123.558 101.071 22.4867
596000 -87.0849 -42.9385 51.0134 -60.8752 81.8069 -20.9317
598000 -113.267 37.3724 133.176 14.9786 -66.5201 51.5415
600000 -53.2043 73.358 111.852 4.44536 -3.52733 -0.918039
602000 -96.4373 104.164 -21.8988 -49.1626 -54.6218 103.784
604000 -52.6039 82.2576 -67.491 144.299 -90.6014 -53.6973
606000 -93.0766 -8.81408 -11.3949 6.26792 61.7038 -67.9717
608000 -15.1916 -122.038 40.1482 -10.7983 127.004 -116.206
610000 189.184 -39.652 129.742 -127.605 25.8182 101.787
612000 -31.9482 22.5763 107.579 25.584 -17.9034 -7.68062
614000 9.29433 38.3471 22.6151 53.5805 9.74891 -63.3294
616000 -34.4479 28.0734 125.22 116.718 -80.9908 -35.7272
618000 -74.771 -75.7188 228.758 -52.04 -38.5792 90.6192
620000 -87.8974 -57.3126 139.574 -54.383 31.1191 23.2639
622000 -156.731 53.8812 150.078 -55.1767 -50.3296 105.506
624000 64.8038 17.5245 97.646 79.7544 -22.6605 -57.0939
626000 50.2303 -18.8144 67.4309 56.5748 4.15399 -60.7288
628000 31.9168 -42.3472 31.9644 -2.99743 -32.207 35.2044
630000 105.665 -44.2403 72.5899 -52.5782 -39.5261 92.1043
632000 162.177 -106.621 55.3299 -120.506 -113.642 234.148
634000 62.3076 -86.3437 9.98713 -238.412 -37.2569 275.669
636000 -10.0553 -114.439 97.8162 -14.7222 -72.0272 86.7494
638000 0.239109 -28.2853 -2.72369 -35.8561 -77.645 113.501
640000 28.4889 -53.0077 -55.7373 -62.226 -24.7657 86.9917
642000 97.5555 -59.2825 24.9516 71.2806 -37.2832 -33.9973
644000 24.7401 -46.9882 20.2702 -22.5543 37.6884 -15.1341
646000 41.493 -199.105 -40.6334 52.0264 -103.888 51.862
648000 75.9613 -140.636 -98.2209 -46.4834 -78.992 125.475
650000 85.32 55.0213 -44.2243 -9.78892 -160.827 170.616
652000 -6.71608 -108.672 -17.4157 6.905 -116.669 109.764
654000 42.2757 32.6107 -72.2311 192.091 -150.902 -41.1888
656000 -54.3003 110.458 -119.018 68.5026 -99.1584 30.6558
658000 30.3545 59.0765 -14.5354 83.9479 -219.307 135.359
660000 -24.9681 -84.2655 125.581 132.287 -189.925 57.6379
662000 -118.88 -101.087 79.5962 212.439 -201.602 -10.8369
664000 -117.862 -47.0553 6.67356 119.007 -19.2108 -99.7964
666000 -194.695 84.6257 -79.9479 66.1106 5.33749 -71.448
668000 -97.2348 -4.58313 10.2148 14.1409 101.936 -116.077
